Race_ID,Athlete_ID,Date,Time,Elo_Before,Elo_Momentum,Days_since_last,SB_Gap,Is_Championship,Target_Rank,Indoor
1,jakob_ingebrigtsen,2021-07-30,3:28.32,,,,,1,1,0
1,timothy_cheruiyot,2021-07-30,3:29.01,,,,,1,2,0
1,josh_kerr,2021-07-30,3:29.05,,,,,1,3,0
1,abel_kipsang,2021-07-30,3:29.56,,,,,1,4,0
1,adel_mechaal,2021-07-30,3:30.77,,,,,1,5,0
1,cole_hocker,2021-07-30,3:31.40,,,,,1,6,0
1,stewart_mcsweyn,2021-07-30,3:31.91,,,,,1,7,0
1,michal_rozmys,2021-07-30,3:32.67,,,,,1,8,0
1,jake_heyward,2021-07-30,3:34.43,,,,,1,9,0
1,jake_wightman,2021-07-30,3:35.09,,,,,1,10,0
1,oliver_hoare,2021-07-30,3:35.79,,,,,1,11,0
1,charles_grethen,2021-07-30,3:36.80,,,,,1,12,0
1,ignacio_fontes,2021-07-30,3:38.56,,,,,1,13,0
2,jake_wightman,2022-07-19,3:29.23,,,,,1,1,0
2,jakob_ingebrigtsen,2022-07-19,3:29.47,,,,,1,2,0
2,mohamed_katir,2022-07-19,3:29.90,,,,,1,3,0
2,mario_garcia,2022-07-19,3:30.20,,,,,1,4,0
2,josh_kerr,2022-07-19,3:30.60,,,,,1,5,0
2,timothy_cheruiyot,2022-07-19,3:30.69,,,,,1,6,0
2,abel_kipsang,2022-07-19,3:31.21,,,,,1,7,0
2,teddese_lemi,2022-07-19,3:32.98,,,,,1,8,0
2,stewart_mcsweyn,2022-07-19,3:33.24,,,,,1,9,0
2,michal_rozmys,2022-07-19,3:34.58,,,,,1,10,0
2,ignacio_fontes,2022-07-19,3:34.71,,,,,1,11,0
2,joshua_thompson,2022-07-19,3:35.57,,,,,1,12,0
3,josh_kerr,2023-08-19,3:29.38,,,,,1,1,0
3,jakob_ingebrigtsen,2023-08-19,3:29.65,,,,,1,2,0
3,narve_gilje_nordas,2023-08-19,3:29.68,,,,,1,3,0
3,abel_kipsang,2023-08-19,3:29.89,,,,,1,4,0
3,yared_nuguse,2023-08-19,3:30.25,,,,,1,5,0
3,mario_garcia,2023-08-19,3:30.26,,,,,1,6,0
3,cole_hocker,2023-08-19,3:30.70,,,,,1,7,0
3,reynold_cheruiyot,2023-08-19,3:30.78,,,,,1,8,0
3,neil_gourley,2023-08-19,3:31.10,,,,,1,9,0
3,niels_laros,2023-08-19,3:31.25,,,,,1,10,0
3,azeddine_habz,2023-08-19,3:33.14,,,,,1,11,0
3,isaac_nader,2023-08-19,3:35.41,,,,,1,12,0
4,cole_hocker,2024-08-06,3:27.65,,,,,1,1,0
4,josh_kerr,2024-08-06,3:27.79,,,,,1,2,0
4,yared_nuguse,2024-08-06,3:27.80,,,,,1,3,0
4,jakob_ingebrigtsen,2024-08-06,3:28.24,,,,,1,4,0
4,hobbs_kessler,2024-08-06,3:29.45,,,,,1,5,0
4,niels_laros,2024-08-06,3:29.54,,,,,1,6,0
4,narve_gilje_nordas,2024-08-06,3:30.46,,,,,1,7,0
4,pietro_arese,2024-08-06,3:30.74,,,,,1,8,0
4,stefan_nillessen,2024-08-06,3:30.75,,,,,1,9,0
4,neil_gourley,2024-08-06,3:30.88,,,,,1,10,0
4,timothy_cheruiyot,2024-08-06,3:31.35,,,,,1,11,0
4,brian_komen,2024-08-06,3:35.59,,,,,1,12,0
5,isaac_nader,2025-09-17,3:34.10,,,,,1,1,0
